condition,temp_c,nozzle_mm,gravity,flow_ratio,run,n_points,n_raw_points,n_nan_dropped,n_glitch_trimmed,load_offset_n,gauge_length_mm,uts_mpa,strain_at_uts,modulus_mpa,final_recorded_strain,final_recorded_stress_mpa,final_stress_frac_of_peak,strain_range,outlier_extension,outlier_reference
T105N06+1GFR085,105,0.6,+1G (upright),0.85,Test Run 65,38034,38034,0,0,3.274657607078551,24.8039998114109,15.219480903446643,0.16888403344230712,183.55714578734631,1.026205443964222,11.394725807011131,0.7486934593433244,1.026205443964222,False,1.0442170063368659
T105N06+1GFR085,105,0.6,+1G (upright),0.85,Test Run 66,38600,38600,0,0,2.102557030591097,24.7189998626709,15.336912312019987,0.16363931883505978,279.593336758489,1.0442170063368659,11.629240955818785,0.7582517731880497,1.0442170063368659,False,1.026205443964222
T105N06+1GFR085,105,0.6,+1G (upright),0.85,Test Run 67,36580,36580,0,0,2.2395072579383855,24.9450001865625,15.062263422459395,0.1633192941138723,271.83960747610143,1.0131889761574717,11.45467064902187,0.7604880042093652,1.0131889761574717,False,1.0442170063368659
T105N06-1GFR085,105,0.6,-1G (inverted),0.85,Test Run 74,37132,37132,0,0,-27.899685946377847,25.3170002251863,13.044958079944973,0.14638380731080966,349.2330633633651,0.9823438280907425,10.013972819935198,0.7676508240628581,0.9823438280907425,False,1.0197411034015935
T105N06-1GFR085,105,0.6,-1G (inverted),0.85,Test Run 75,39078,39078,0,0,-38.48780163851651,24.8719993978739,13.512501634250956,0.13722262616646533,375.37816037075015,1.0197411034015935,10.690189469944345,0.7911332600950275,1.0197411034015935,False,0.9823438280907425
T105N14+1GFR085,105,1.4,+1G (upright),0.85,Test Run 78,41571,41571,0,0,-45.27442307905718,25.1299999654293,15.58319255655459,0.15399917252007808,397.04877047213415,1.026860336301953,11.887809103185479,0.7628609516337677,1.026860336301953,False,1.0081311570556717
T105N14+1GFR085,105,1.4,+1G (upright),0.85,Test Run 79,41582,41582,0,0,-38.96142751520329,25.2119991928339,15.474810812690041,0.15234815418819078,398.3308805615777,1.0081311570556717,11.908457205512303,0.7695381449023487,1.0081311570556717,False,1.026860336301953
T105N14-1GFR085,105,1.4,-1G (inverted),0.85,Test Run 63,37503,37786,272,11,1.1412579268217087,24.8540006577969,15.544883445836604,0.15337571636593034,419.4307335030853,0.9557415319495246,11.920023826695978,0.7668133291722123,0.9557415319495246,False,0.9909227474200049
T105N14-1GFR085,105,1.4,-1G (inverted),0.85,Test Run 64,39143,39143,0,0,1.7109366492791607,25.3379996865988,15.576373301649635,0.15111692182043282,382.9293495195762,0.9909227474200049,11.886145030165261,0.7630880950257172,0.9909227474200049,False,0.9557415319495246
T105N22+1GFR085,105,2.2,+1G (upright),0.85,Test Run 72,41629,41629,0,0,1.5994136658581837,24.9559991061687,16.350716557692397,0.15150666323335854,391.14770528711887,1.0090560263917077,12.403213658522473,0.7585730946260717,1.0090560263917077,False,2.248656061025262
T105N22+1GFR085,105,2.2,+1G (upright),0.85,Test Run 73,80750,80750,0,0,1.051094768399542,25.2999998629093,16.36859349312938,0.1383003723670631,480.31328921293476,2.248656061025262,12.349410906459456,0.754457669905667,2.248656061025262,True,1.0090560263917077
T105N22-1GFR085,105,2.2,-1G (inverted),0.85,Test Run 68,44616,44616,0,0,1.2877140261910187,24.6130004525185,16.131646799770238,0.1393165917007422,440.8657386107726,0.8538983339190718,12.436222910610113,0.77092085296507,0.8538983339190718,False,1.073893543064802
T105N22-1GFR085,105,2.2,-1G (inverted),0.85,Test Run 69,46635,46635,0,0,1.7136358835480434,24.6300008147955,16.424464256045525,0.15485175182791264,377.79574021250653,1.073893543064802,12.454016715762288,0.758260149105211,1.073893543064802,False,0.8538983339190718
T105N26+1GFR085,105,2.6,+1G (upright),0.85,Test Run 76,41393,41393,0,0,-40.167956265536226,24.8520001769066,17.729794155467705,0.15338806246231848,580.4572763970737,1.051183018000772,13.66695693622933,0.7708469041652447,1.051183018000772,False,1.0621265705447922
T105N26+1GFR085,105,2.6,+1G (upright),0.85,Test Run 77,44032,44032,0,0,-41.863915183327414,24.7719995677471,17.68225279721347,0.15473113530374547,534.3220732831181,1.0621265705447922,13.601088246432218,0.7691943103864911,1.0621265705447922,False,1.051183018000772
T105N26-1GFR085,105,2.6,-1G (inverted),0.85,Test Run 70,46979,46979,0,0,-0.04816689511591734,25.2529997378588,18.09413388550532,0.15233838198955627,480.0423732354645,1.003722339962649,13.787296422126449,0.7619760365082214,1.003722339962649,False,0.9983389787282743
T105N26-1GFR085,105,2.6,-1G (inverted),0.85,Test Run 71,43257,43258,1,0,3.15119110996073,25.2849999815226,18.022379215129366,0.1591062132052074,415.0671290265854,0.9983389787282743,13.65520697391849,0.7576805931624868,0.9983389787282743,False,1.003722339962649
